Temperature, C	Time, min	dL/L0_corr
49.859	4.09	-1.8630000000000003e-05
49.906	4.1	-1.8099999999999952e-05
49.955	4.11	-2.029999999999995e-05
49.997	4.12	-2.0739999999999995e-05
50.036	4.13	-1.8749999999999995e-05
50.078	4.14	-1.7050000000000008e-05
50.118	4.15	-1.8959999999999995e-05
50.161	4.16	-2.050000000000001e-05
50.201	4.17	-2.1290000000000035e-05
50.248	4.18	-2.050000000000001e-05
50.278	4.19	-1.895e-05
50.327	4.2	-2.1040000000000002e-05
50.357	4.21	-2.2710000000000004e-05
50.411	4.22	-2.285999999999998e-05
50.462	4.23	-1.919999999999998e-05
50.499	4.24	-2.1819999999999977e-05
50.536	4.25	-2.2390000000000008e-05
50.578	4.26	-2.1299999999999976e-05
50.627	4.27	-2.0259999999999972e-05
50.658	4.28	-2.2180000000000008e-05
50.71	4.29	-2.0790000000000023e-05
50.758	4.3	-2.097999999999998e-05
50.784	4.31	-2.2150000000000023e-05
50.839	4.32	-1.929000000000004e-05
50.897	4.33	-2.0680000000000026e-05
50.928	4.34	-1.9479999999999996e-05
50.97	4.35	-1.987000000000001e-05
51.015	4.36	-1.8639999999999998e-05
51.061	4.37	-2.3169999999999983e-05
51.115	4.38	-2.0799999999999963e-05
51.147	4.39	-2.2239999999999977e-05
51.192	4.4	-2.0429999999999992e-05
51.239	4.41	-2.3379999999999983e-05
51.284	4.42	-2.134000000000001e-05
51.323	4.43	-2.228000000000001e-05
51.367	4.44	-2.1640000000000016e-05
51.41	4.45	-2.1010000000000017e-05
51.45	4.46	-2.3090000000000025e-05
51.502	4.47	-2.2710000000000004e-05
51.546	4.48	-2.0969999999999984e-05
51.59	4.49	-2.1179999999999984e-05
51.625	4.5	-2.1319999999999965e-05
51.689	4.51	-2.1259999999999996e-05
51.731	4.52	-2.725999999999998e-05
51.77	4.53	-2.3979999999999997e-05
51.816	4.54	-2.3149999999999993e-05
51.847	4.55	-2.3359999999999993e-05
51.902	4.56	-2.3989999999999992e-05
51.943	4.57	-2.2590000000000012e-05
51.996	4.58	-2.3090000000000025e-05
52.039	4.59	-2.2670000000000025e-05
52.074	4.6	-2.5029999999999996e-05
52.116	4.61	-2.090000000000002e-05
52.165	4.62	-2.1549999999999955e-05
52.215	4.63	-2.4249999999999966e-05
52.263	4.64	-2.3999999999999987e-05
52.302	4.65	-2.409999999999999e-05
52.355	4.66	-2.168999999999999e-05
52.399	4.67	-2.3459999999999996e-05
52.447	4.68	-2.5559999999999992e-05
52.5	4.69	-2.3190000000000027e-05
52.54	4.7	-2.2800000000000012e-05
52.58	4.71	-2.2780000000000022e-05
52.628	4.72	-2.6120000000000028e-05
52.676	4.73	-2.580999999999997e-05
52.719	4.74	-2.5189999999999967e-05
52.762	4.75	-2.348999999999998e-05
52.812	4.76	-2.3249999999999996e-05
52.857	4.77	-2.528999999999997e-05
52.915	4.78	-2.6309999999999984e-05
52.95	4.79	-2.5049999999999985e-05
53.001	4.8	-2.4170000000000007e-05
53.054	4.81	-2.8970000000000016e-05
53.09	4.82	-2.764e-05
53.141	4.83	-2.6690000000000004e-05
53.184	4.84	-2.683000000000004e-05
53.252	4.85	-2.67e-05
53.284	4.86	-2.4479999999999955e-05
53.326	4.87	-2.582999999999996e-05
53.38	4.88	-2.5640000000000005e-05
53.432	4.89	-2.287999999999997e-05
53.465	4.9	-2.5960000000000002e-05
53.504	4.91	-3.032000000000002e-05
53.57	4.92	-2.523e-05
53.616	4.93	-2.3799999999999982e-05
53.658	4.94	-2.561000000000002e-05
53.706	4.95	-2.521000000000001e-05
53.753	4.96	-2.3669999999999995e-05
53.789	4.97	-2.486000000000003e-05
53.842	4.98	-2.3570000000000047e-05
53.908	4.99	-2.599999999999998e-05
53.937	5.0	-2.6560000000000017e-05
53.986	5.01	-2.4989999999999962e-05
54.035	5.02	-2.5410000000000016e-05
54.089	5.03	-2.5600000000000026e-05
54.133	5.04	-2.6289999999999994e-05
54.178	5.05	-2.5029999999999996e-05
54.226	5.06	-2.6099999999999984e-05
54.272	5.07	-2.8470000000000004e-05
54.322	5.08	-2.5730000000000013e-05
54.38	5.09	-2.7380000000000026e-05
54.423	5.1	-2.4980000000000022e-05
